ReqNumber,OrderNumber,BatchLoad
60760925,40963852,27/08/2025
60760904,40962031,27/08/2025
60760856,40961035,27/08/2025
60760852,40964164,27/08/2025
60760839,40963851,27/08/2025
60760837,40963850,27/08/2025
60760835,40961877,27/08/2025
60760813,40961713,27/08/2025
60760735,40965205,27/08/2025
60760735,40965205,27/08/2025
60760689,40960538,27/08/2025
60760661,40961850,27/08/2025
60760450,40966355,27/08/2025
60760427,40969553,27/08/2025
60760427,40969553,27/08/2025
60760427,40969553,27/08/2025
60760426,40959917,27/08/2025
60760426,40959917,27/08/2025
60760369,40960723,27/08/2025
60760198,40960475,27/08/2025
60760187,40959613,27/08/2025
60760187,40959613,27/08/2025
60760187,40959613,27/08/2025
60760187,40959613,27/08/2025
60760140,40959266,27/08/2025
60760034,40959442,27/08/2025
60759695,40960469,27/08/2025
60759578,40959108,27/08/2025
60759554,40959107,27/08/2025
60759468,40959093,27/08/2025
60759468,40959093,27/08/2025
60759468,40959093,27/08/2025
60759465,40962694,27/08/2025
60759422,40958002,27/08/2025
60759422,40958002,27/08/2025
60759407,40959092,27/08/2025
60759407,40959092,27/08/2025
60759407,40959092,27/08/2025
60759385,40959097,27/08/2025
60759381,40959106,27/08/2025
60759377,40958024,27/08/2025
60759364,40961712,27/08/2025
60759207,40964841,27/08/2025
60759139,40959096,27/08/2025
60759139,40959096,27/08/2025
60759139,40959096,27/08/2025
60759055,40959091,27/08/2025
60759052,40960563,27/08/2025
60759052,40960563,27/08/2025
60758956,40958855,27/08/2025
60758755,40958181,27/08/2025
60758495,40959090,27/08/2025
60758140,40955712,27/08/2025
60758137,40955739,27/08/2025
60758078,40956696,27/08/2025
60758078,40956696,27/08/2025
60758078,40956696,27/08/2025
60758069,40956695,27/08/2025
60758069,40956695,27/08/2025
60758069,40956695,27/08/2025
60758069,40956695,27/08/2025
60757986,40955563,27/08/2025
60757876,40958416,27/08/2025
60757857,40955725,27/08/2025
60757857,40955725,27/08/2025
60757774,40955538,27/08/2025
60757768,40954755,27/08/2025
60757739,40955361,27/08/2025
60757739,40955361,27/08/2025
60757719,40958023,27/08/2025
